
Algorithm Hash                                                             Path
--------- ----                                                             ----
SHA256    CB6C4EE9A8DB0F0A28FCECCEA36CA6CD9FDD81D416D2CE5B69672636624170E2 <TRIALS>\A\workspace\backend\service.py
SHA256    02BC288ADC072F038DD47176EB68C5E8FE2DF6D1D11A258DBD5DE0DFD2A9E105 <TRIALS>\A\workspace\server.py
SHA256    DF4A00045F4A199F93680012C06E0EB1EF8106177A77C5210B50E4C4E6D8B4F1 <TRIALS>\A\workspace\ui\app.js
SHA256    D8A608AE00F7EBDB1D5D9C5AB5324BFA025FF67778D242F9C27C842A48CE20CD <TRIALS>\A\workspace\ui\index.html
SHA256    B6DCA52FA3DB003B4B0076E55D435064BC21CD5F174D85C08DE0D7FA522AF134 <TRIALS>\A\workspace\tests\test_service.py
SHA256    CB2BB05128A3C4DB2DC4A20594D0259334FF29FE42524B55647EF10B2C4ED042 <TRIALS>\A\workspace\tests\test_validation.py
SHA256    ACDBE2DAD5E2A1D1B7940EE896C6F3EF5E2C9C86D27AF3AF72DB79D65954A449 <TRIALS>\A\workspace\PRODUCT.md
SHA256    028D3E82AB3C3AA380F93A2CCABEC45854D25F42A4E48C54CDAB4CA553D4DBD5 <TRIALS>\A\workspace\API.md
SHA256    FB27317DE0505E1D187BE23F14B7A1F667187BCE0C5FA1521C8D388FE85246F9 <TRIALS>\A\workspace\DECISIONS.md
SHA256    D1940DE533E863BF77B4B963097F66547ADCFB48D300765853F54BB7789FAC20 <TRIALS>\A\workspace\SERVICE.md
